country,p,d,q,P,D,Q,s,AIC,BIC,dev_MSE,fit_time
BE,0,0,2,0,1,0,24,573995.9106753763,574021.7224744831,1643194.3553804364,16.01508116722107
BE,0,0,2,0,1,1,24,568717.096362222,568751.5097111067,2282498.1722904053,224.3916027545929
BE,0,0,2,1,0,0,24,573963.7344692473,573998.150499197,21444571.709612016,52.12434935569763
BE,0,0,2,1,0,1,24,579851.6708286287,579894.6904938066,2890487.590484451,143.20954537391663
BE,0,0,2,1,1,0,24,573247.40719917,573281.8208460395,1608747.6166748267,74.22990942001343
BE,0,0,2,1,1,1,24,563014.8997367305,563057.9164228362,2158729.3767021745,338.2838020324707
BE,0,1,0,0,0,0,24,592071.5881317889,592080.1926850872,4300101.470833333,0.2157590389251709
BE,0,1,0,0,0,1,24,561371.0289428686,561388.2368585755,3075824.4698376404,10.949756383895874
BE,0,1,0,0,1,0,24,535947.2924704553,535955.8964283088,96719401.47956349,1.7934250831604004
BE,0,1,0,0,1,1,24,524371.1217640324,524388.3284881401,16481859.301323866,27.050277948379517
BE,0,1,0,1,0,0,24,533362.2334355018,533379.4414008433,2692528.150972153,7.197265386581421
BE,0,1,0,1,0,1,24,524645.8894833035,524671.701356864,8197494.434886627,22.288405656814575
BE,0,1,0,1,1,0,24,533411.780628376,533428.9874021477,30492747.87276691,11.474859714508057
BE,0,1,0,1,1,1,24,521790.8967640889,521816.7068502504,5366993.408347318,35.02259659767151
BE,0,1,1,0,0,0,24,570042.1098701577,570059.3189271481,4838749.382167973,2.2123055458068848
BE,0,1,1,0,0,1,24,545965.9693439542,545991.781143061,3705143.7058823886,14.853299617767334
BE,0,1,1,0,1,0,24,526390.6025558112,526407.8104218823,236503379.893387,4.7810986042022705
BE,0,1,1,0,1,1,24,514058.46667949704,514084.2766911605,27043808.389498066,44.006964921951294
BE,0,1,1,1,0,0,24,523122.74464864307,523148.55659665534,2774063.124394842,11.971456527709961
BE,0,1,1,1,0,1,24,514263.7963851504,514298.2121172927,8154102.00175235,39.355183839797974
BE,0,1,1,1,1,0,24,522773.1778390491,522798.9879997068,73822162.31375001,29.92965602874756
BE,0,1,1,1,1,1,24,512181.36930764315,512215.78265652776,11846408.292194646,64.23580265045166
BE,0,1,2,0,0,0,24,564839.8387222597,564865.6522333341,5234426.798484232,2.314877510070801
BE,0,1,2,0,0,1,24,542124.6149589635,542159.0305918318,3995792.928100512,14.404235363006592
BE,0,1,2,0,1,0,24,524460.5414451449,524486.353169796,562039710.3922275,8.776644468307495
BE,0,1,2,0,1,1,24,512092.935568754,512127.34881830536,46009803.80015943,47.28462862968445
BE,0,1,2,1,0,0,24,520928.083157541,520962.499088224,2479666.1392456037,17.621485948562622
BE,0,1,2,1,0,1,24,512260.5484220005,512303.5679630858,10809377.031931117,27.66541290283203
BE,0,1,2,1,1,0,24,520548.42951729934,520582.84306484304,227199305.24790844,40.82137942314148
BE,0,1,2,1,1,1,24,510408.57692495664,510451.5934868959,24953533.412413135,71.04808163642883
BE,1,0,0,0,0,0,24,592073.1866300878,592090.3957862895,65532304.15739559,1.3300490379333496
BE,1,0,0,0,0,1,24,561369.0606817307,561394.8726297431,73787497.56032144,17.298237085342407
BE,1,0,0,0,1,0,24,535439.3564422509,535456.5644075924,1461167.8315965259,5.1735241413116455
BE,1,0,0,0,1,1,24,523970.7624481758,523996.57260883355,2128610.2449139105,49.01685667037964
BE,1,0,0,1,0,0,24,533206.6627509604,533232.4746989728,92185950.29034996,26.439890146255493
BE,1,0,0,1,0,1,24,524264.3835185767,524298.7994492598,11900157.95054129,37.625739097595215
BE,1,0,0,1,1,0,24,532934.4329519687,532960.2431126265,1506417.0448156833,27.85068964958191
BE,1,0,0,1,1,1,24,521360.5370701054,521394.95061764907,2133514.366412127,84.17038989067078
BE,1,0,1,0,0,0,24,570074.0244313715,570099.8380912665,77973516.98827118,1.2110509872436523
BE,1,0,1,0,0,1,24,545953.7404374954,545988.1562689093,82429250.99424273,37.12193322181702
BE,1,0,1,0,1,0,24,525554.0480217237,525579.8598952842,1476617.0901452855,5.6761252880096436
BE,1,0,1,0,1,1,24,513393.2216167528,513427.6350649682,2157128.9233237333,59.654218435287476
BE,1,0,1,1,0,0,24,522944.55157566635,522978.9675063494,93499131.05696757,24.67076325416565
BE,1,0,1,1,0,1,24,513646.57686502655,513689.59665429394,17304974.19407135,50.22423481941223
BE,1,0,1,1,1,0,24,522014.71793190966,522049.13147945335,1514193.8680031672,40.07933282852173
BE,1,0,1,1,1,1,24,511462.9455243614,511505.9623346306,2173613.7951404504,68.31676650047302
BE,1,0,2,0,0,0,24,564847.8252806857,564882.2433946666,85129035.6422264,1.6440670490264893
BE,1,0,2,0,0,1,24,542098.0989423057,542141.1186074836,87631933.98572429,42.61933088302612
BE,1,0,2,0,1,0,24,523289.7921909721,523324.20792311436,1466156.5574431722,7.169826030731201
BE,1,0,2,0,1,1,24,511141.45568215055,511184.4723682563,2159541.4628969035,64.68030858039856
BE,1,0,2,1,0,0,24,520704.02537180024,520747.045285154,94185197.56560823,25.32286238670349
BE,1,0,2,1,0,1,24,511385.88801929634,511437.5116175098,18018127.802491006,45.64939522743225
BE,1,0,2,1,1,0,24,519476.2010716746,519519.2180061042,1493391.7554952314,49.578930377960205
BE,1,0,2,1,1,1,24,509395.36879133654,509446.9888146635,2179161.2934946553,124.8220145702362
BE,1,1,0,0,0,0,24,566567.0895364615,566584.2986430582,8834055.880472029,0.1766035556793213
BE,1,1,0,0,0,1,24,542632.0066165543,542657.8184901148,5389926.930761333,8.922255039215088
BE,1,1,0,0,1,0,24,525004.8581403907,525022.0660560976,676957844.3796555,2.6025707721710205
BE,1,1,0,0,1,1,24,513042.1693279701,513067.97941413167,37110476.37506849,30.221635103225708
BE,1,1,0,1,0,0,24,521447.932179719,521473.7440532794,2673874.7034762786,10.062997579574585
BE,1,1,0,1,0,1,24,513215.42647358833,513249.8423050022,8281780.861594229,22.081404447555542
BE,1,1,0,1,1,0,24,521364.7124645719,521390.5225507334,283405893.43809336,24.331467151641846
BE,1,1,0,1,1,1,24,511138.66721648973,511173.08066470514,20645337.26348951,55.122411489486694
BE,1,1,1,0,0,0,24,564077.9870912443,564103.80067673,6721383.693432532,1.0096633434295654
BE,1,1,1,0,0,1,24,541766.55030702,541800.9660391622,4791722.59988367,19.644181489944458
BE,1,1,1,0,1,0,24,524732.6402419943,524758.4520411011,568809158.4303108,11.501232624053955
BE,1,1,1,0,1,1,24,512475.515587899,512509.92893678363,37746942.485841766,67.66308856010437
BE,1,1,1,1,0,0,24,521132.0709244212,521166.48675583507,2684932.5610426236,14.889832735061646
BE,1,1,1,1,0,1,24,512644.62970654137,512687.6493717193,8464372.966197649,50.59010457992554
BE,1,1,1,1,1,0,24,520888.17628556356,520922.58973377896,215512180.03784528,43.74479603767395
BE,1,1,1,1,1,1,24,510722.28070645884,510765.2973925646,20199170.65379964,74.9878261089325
BE,1,1,2,0,0,0,24,563806.883077119,563841.301091885,6226610.631689519,4.26965594291687
